variable,definition_ja,source_excel_column,source_header,units,storage_types,stata_label,coding,missingness_notes,datasets,privacy,definition_source
id,元データの識別用項目「全体通し番号」。値・対応表は非公開。,A,全体通し番号,,str6,全体通し番号,,Stataの数値欠損表現は . または拡張欠損 .a〜.z。文字列欠損は空文字。観測値・頻度・拡張欠損の出現有無は収載しない。,df01mi.dta; df01mi_surgery.dta; df01mi_lung.dta; df02mi.dta; df02mi_surgery.dta; df02mi_lung.dta; df03mi.dta; df03mi_surgery.dta; df03mi_lung.dta,identifier: values withheld,Stata data metadata; source code
sex,性別。元Excel見出しにより 0=女性、1=男性。,D,性別男：1 or 女：0,,byte,sex,0=女性; 1=男性,Stataの数値欠損表現は . または拡張欠損 .a〜.z。文字列欠損は空文字。観測値・頻度・拡張欠損の出現有無は収載しない。,df01mi.dta; df01mi_surgery.dta; df01mi_lung.dta; df02mi.dta; df02mi_surgery.dta; df02mi_lung.dta; df03mi.dta; df03mi_surgery.dta; df03mi_lung.dta,participant-level values withheld,Excel header; crDataICL01*.do (no usable attached value-label definition)
age,元データに記録された年齢。基準日時の詳細はコードから確定できない。,E,年齢,年 / years,double,年齢,,Stataの数値欠損表現は . または拡張欠損 .a〜.z。文字列欠損は空文字。観測値・頻度・拡張欠損の出現有無は収載しない。,df01mi.dta; df01mi_surgery.dta; df01mi_lung.dta; df02mi.dta; df02mi_surgery.dta; df02mi_lung.dta; df03mi.dta; df03mi_surgery.dta; df03mi_lung.dta,participant-level values withheld,Stata data metadata; source code
age_cat,年齢の2区分。元Excelカテゴリを符号化。,F,年齢 2,,byte,年齢カテゴリ,0=69歳以下; 1=70歳以上,Stataの数値欠損表現は . または拡張欠損 .a〜.z。文字列欠損は空文字。観測値・頻度・拡張欠損の出現有無は収載しない。,df01mi.dta; df01mi_surgery.dta; df01mi_lung.dta; df02mi.dta; df02mi_surgery.dta; df02mi_lung.dta; df03mi.dta; df03mi_surgery.dta; df03mi_lung.dta,participant-level values withheld,Stata data metadata; source code
side,原発巣の左右区分。,I,Sidedness,,byte,Sideness,0=Left; 1=Right,Stataの数値欠損表現は . または拡張欠損 .a〜.z。文字列欠損は空文字。観測値・頻度・拡張欠損の出現有無は収載しない。,df01mi.dta; df01mi_surgery.dta; df01mi_lung.dta; df02mi.dta; df02mi_surgery.dta; df02mi_lung.dta; df03mi.dta; df03mi_surgery.dta; df03mi_lung.dta,participant-level values withheld,Stata data metadata; source code
grade,原発巣の分化度。,L,分化度 2,,byte,Primary tumor differentiation,0=Well; 1=Moderate; 2=poor/mucinous; 3=missing,ラベル定義に残る3=missingは、df01mi作成時に . へ変更済み。df02mi/df03miのm>0では補完対象。ラベルの存在は値の存在を意味しない。,df01mi.dta; df01mi_surgery.dta; df01mi_lung.dta; df02mi.dta; df02mi_surgery.dta; df02mi_lung.dta; df03mi.dta; df03mi_surgery.dta; df03mi_lung.dta,participant-level values withheld,Stata data metadata; source code
primary_n,原発巣リンパ節転移区分。,M,Primary N+,,byte,Primary tumor nodal metastases,0=N-; 1=N+; 2=missing,ラベル定義に残る2=missingは、df01mi作成時に . へ変更済み。df02mi/df03miのm>0では補完対象。ラベルの存在は値の存在を意味しない。,df01mi.dta; df01mi_surgery.dta; df01mi_lung.dta; df02mi.dta; df02mi_surgery.dta; df02mi_lung.dta; df03mi.dta; df03mi_surgery.dta; df03mi_lung.dta,participant-level values withheld,Stata data metadata; source code
ehd3,傾向スコアに用いる肝外転移部位の3区分。,V,EHD分類3,,byte,Site of extrahepatic metastasis,0=M1 (Lung/LN/others); 1=M1 (Peri); 2=multiple,Stataの数値欠損表現は . または拡張欠損 .a〜.z。文字列欠損は空文字。観測値・頻度・拡張欠損の出現有無は収載しない。,df01mi.dta; df01mi_surgery.dta; df01mi_lung.dta; df02mi.dta; df02mi_surgery.dta; df02mi_lung.dta; df03mi.dta; df03mi_surgery.dta; df03mi_lung.dta,participant-level values withheld,Stata data metadata; source code
trt,治療群。0=C群（肝・肝外とも非切除）、1=B群（肝切除・肝外非切除）。それ以外はmap2catで欠損、MI前に除外。,Y,治療の組み合わせ,,byte,処置,0=Group C; 1=Group B,Stataの数値欠損表現は . または拡張欠損 .a〜.z。文字列欠損は空文字。観測値・頻度・拡張欠損の出現有無は収載しない。,df01mi.dta; df01mi_surgery.dta; df01mi_lung.dta; df02mi.dta; df02mi_surgery.dta; df02mi_lung.dta; df03mi.dta; df03mi_surgery.dta; df03mi_lung.dta,participant-level values withheld,Stata data metadata; source code
ras_mut,元ExcelのRAS/RAF変異区分。保存ラベルはK-Rasだが入力はRAS/RAFを含む。,AE,RAS/RAF変異,,byte,K-Ras mutation status,0=野生型; 1=RAS/RAF変異; 2=Unknown,2=Unknownはカテゴリとして残り、MI補完対象ではない。,df01mi.dta; df01mi_surgery.dta; df01mi_lung.dta; df02mi.dta; df02mi_surgery.dta; df02mi_lung.dta; df03mi.dta; df03mi_surgery.dta; df03mi_lung.dta,participant-level values withheld,Stata data metadata; source code
